Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Moquegua,0,1/3/2020,12,736.1,61341.66666666667,0.05999999999999999
Pasco,0,1/3/2020,0,0,0,0
Piura,0,1/3/2020,0,0,0,0
Puno,0,1/3/2020,0,0,0,0
San Martín,0,1/3/2020,0,0,0,0
Tacna,225,1/3/2020,208,10464,50307.692307692305,0.29469896788990824
Tumbes,0,1/3/2020,0,0,0,0
Ucayali,0,1/3/2020,0,0,0,0
Nacional,3103,1/3/2019,3114.5,156885.334,50372.55867715524,0.14378496220685613
Amazonas,0,1/3/2019,0,0,0,0
Áncash,71,1/3/2019,33,697,21121.21212121212,0.2665997130559541
Apurímac,0,1/3/2019,0,0,0,0
Arequipa,1301,1/3/2019,1265,68661.174,54277.60790513834,0.13740300042058706
Ayacucho,0,1/3/2019,0,0,0,0
Cajamarca,0,1/3/2019,24,192,8000,1
Callao,0,1/3/2019,0,0,0,0
Cusco,0,1/3/2019,0,0,0,0
Huancavelica,0,1/3/2019,0,0,0,0
Huánuco,29,1/3/2019,46,1018,22130.434782608696,0.18361493123772102
Ica,0,1/3/2019,127,6980,54960.629921259846,0.10999999999999999
Junín,0,1/3/2019,0,0,0,0
La Libertad,251,1/3/2019,240.5,14413.5,59931.392931392926,0.14937558538869808
Lambayeque,270,1/3/2019,52,2012,38692.307692307695,0.16759443339960234
Lima,877,1/3/2019,1095,52805.84,48224.511415525114,0.13501430902339592
Lima Metropolitana,135,1/3/2019,106,3804.87,35894.99999999999,0.12129034631932235
Loreto,0,1/3/2019,0,0,0,0
Madre de Dios,0,1/3/2019,0,0,0,0
Moquegua,6,1/3/2019,5,293.95,58790,0.05
Pasco,0,1/3/2019,0,0,0,0
Piura,0,1/3/2019,0,0,0,0
Puno,0,1/3/2019,0,0,0,0
San Martín,0,1/3/2019,0,0,0,0
Tacna,163,1/3/2019,121,6007,49644.628099173555,0.2821708007324788
Tumbes,0,1/3/2019,0,0,0,0
Ucayali,0,1/3/2019,0,0,0,0
Nacional,3013.8,1/4/2022,3538,169610.618,47939.688524590165,0.18044803981552618
Amazonas,0,1/4/2022,0,0,0,0
Áncash,102,1/4/2022,57,1200,21052.63157894737,0.6048333333333333
Apurímac,0,1/4/2022,0,0,0,0
Arequipa,1311.6,1/4/2022,1481,82003.318,55370.23497636732,0.1510571871006488
Ayacucho,0,1/4/2022,0,0,0,0
Cajamarca,22,1/4/2022,52,355,6826.923076923076,0.908169014084507
Callao,0,1/4/2022,0,0,0,0
Cusco,0,1/4/2022,0,0,0,0
Huancavelica,0,1/4/2022,0,0,0,0
Huánuco,23,1/4/2022,37,803,21702.702702702703,0.21599003735990038
Ica,0,1/4/2022,0,0,0,0
Junín,0,1/4/2022,0,0,0,0
La Libertad,250,1/4/2022,289,14979,51830.44982698962,0.17401361906669338
Lambayeque,184,1/4/2022,156,4774,30602.5641025641,0.24966066191872646
Lima,822.2,1/4/2022,1170,53666,45868.37606837606,0.16486048895017333
Lima Metropolitana,87,1/4/2022,77,2451.2999999999997,31835.064935064933,0.13259902908660712
Loreto,0,1/4/2022,0,0,0,0
Moquegua,8,1/4/2022,13,864,66461.53846153847,0.05
Pasco,0,1/4/2022,0,0,0,0
Piura,0,1/4/2022,0,0,0,0
Puno,0,1/4/2022,0,0,0,0
San Martín,0,1/4/2022,0,0,0,0
Tacna,204,1/4/2022,206,8515,41334.95145631068,0.4677627715795655
Tumbes,0,1/4/2022,0,0,0,0
Ucayali,0,1/4/2022,0,0,0,0
Nacional,3267,1/4/2021,3092,169838.46099999998,54928.350905562744,0.15154486597708866
Amazonas,0,1/4/2021,0,0,0,0
Áncash,71,1/4/2021,12,250,20833.333333333332,0.51168
Apurímac,0,1/4/2021,0,0,0,0
Arequipa,1541,1/4/2021,1426,87842.061,61600.32328190743,0.138714837417123
Ayacucho,0,1/4/2021,0,0,0,0
Cajamarca,9,1/4/2021,9,53.9,5988.888888888889,0.8000000000000002
Callao,0,1/4/2021,0,0,0,0
Cusco,0,1/4/2021,0,0,0,0
Huancavelica,0,1/4/2021,0,0,0,0
Huánuco,22,1/4/2021,36,795,22083.333333333332,0.1907798742138365
Ica,0,1/4/2021,0,0,0,0
Junín,0,1/4/2021,0,0,0,0
La Libertad,269.5,1/4/2021,243.5,13306,54644.76386036961,0.18786787915226213
Lambayeque,154,1/4/2021,128,4449,34757.8125,0.19832097100472018
Lima,874.5,1/4/2021,963.5,51612.200000000004,53567.41048261547,0.1368819193911517
Lima Metropolitana,99,1/4/2021,81,2770.61,34205.06172839506,0.1150750556736603
Loreto,0,1/4/2021,0,0,0,0
Moquegua,6,1/4/2021,11,652.69,59335.45454545455,0.05
Pasco,0,1/4/2021,0,0,0,0
Piura,0,1/4/2021,0,0,0,0
Puno,0,1/4/2021,0,0,0,0
San Martín,0,1/4/2021,0,0,0,0
Tacna,221,1/4/2021,182,8107,44543.956043956045,0.3
Tumbes,0,1/4/2021,0,0,0,0
Ucayali,0,1/4/2021,0,0,0,0
Nacional,3096,1/4/2020,3025,162196.965,53618.83140495868,0.15782157082902265
Amazonas,0,1/4/2020,0,0,0,0
Áncash,46,1/4/2020,34,710,20882.352941176472,0.3580281690140845
Apurímac,0,1/4/2020,0,0,0,0
Arequipa,1507,1/4/2020,1323,83296.90500000001,62960.62358276645,0.1548582471341523
Ayacucho,0,1/4/2020,0,0,0,0
Cajamarca,6,1/4/2020,28,198,7071.428571428572,0.947979797979798
Callao,0,1/4/2020,0,0,0,0
Cusco,0,1/4/2020,0,0,0,0
Huancavelica,0,1/4/2020,0,0,0,0
Huánuco,18,1/4/2020,32,705,22031.25,0.19931914893617023
Ica,0,1/4/2020,0,0,0,0
Junín,0,1/4/2020,0,0,0,0
La Libertad,210,1/4/2020,246,13678,55601.62601626016,0.15733075010966519
Lambayeque,139,1/4/2020,88,2596,29500,0.19986517719568567
Lima,861,1/4/2020,973,47626.3,48947.893114080165,0.129350988844399
Lima Metropolitana,77,1/4/2020,82,2993.8599999999997,36510.487804878045,0.10910800772247199
Loreto,0,1/4/2020,0,0,0,0
Moquegua,2,1/4/2020,6,372.9,62150,0.06
Pasco,0,1/4/2020,0,0,0,0
Piura,0,1/4/2020,0,0,0,0
Puno,0,1/4/2020,0,0,0,0
San Martín,0,1/4/2020,0,0,0,0
Tacna,230,1/4/2020,213,10020,47042.25352112676,0.29303293413173653
Tumbes,0,1/4/2020,0,0,0,0
Ucayali,0,1/4/2020,0,0,0,0
Nacional,3418.5,1/4/2019,2800,136895.348,48891.19571428571,0.15932191340789753
Amazonas,0,1/4/2019,0,0,0,0
Áncash,59,1/4/2019,47,939,19978.72340425532,0.27797657082002136
Apurímac,0,1/4/2019,0,0,0,0
Arequipa,1286,1/4/2019,1161,59959.448000000004,51644.65805340224,0.16057584085830812
Ayacucho,0,1/4/2019,0,0,0,0
Cajamarca,0,1/4/2019,44,355,8068.181818181818,1
Callao,0,1/4/2019,0,0,0,0
Cusco,0,1/4/2019,0,0,0,0
Huancavelica,0,1/4/2019,0,0,0,0
Huánuco,31,1/4/2019,32,708,22125,0.19289548022598868
Ica,55,1/4/2019,0,0,0,0
Junín,0,1/4/2019,0,0,0,0
La Libertad,409.5,1/4/2019,287,17014,59282.229965156796,0.14949806042082991
Lambayeque,390,1/4/2019,188,8326,44287.234042553195,0.16597645928417007
Lima,840,1/4/2019,820,39659.079999999994,48364.73170731707,0.1307752978636922
Lima Metropolitana,115,1/4/2019,77,2850.05,37013.63636363637,0.12919194400098247
