Región,meses,cosecha,year,produccion,rendimiento
Amazonas,Jun,1.7445120185346075,2021,,
Áncash,Jun,3.829232145138623,2021,,
Apurímac,Jun,3.401883105347309,2021,,
Arequipa,Jun,4.395999445330374,2021,,
Ayacucho,Jun,3.01195652173913,2021,,
Cajamarca,Jun,2.5441707717569786,2021,,
Callao,Jun,0.0,2021,,
Cusco,Jun,1.3780056256238093,2021,,
Huancavelica,Jun,3.964301182137376,2021,,
Huánuco,Jun,3.1563157894736844,2021,,
Ica,Jun,4.41884831019561,2021,,
Junín,Jun,1.5335083691150864,2021,,
La Libertad,Jun,3.9290700112225148,2021,,
Lambayeque,Jun,3.9930460380272175,2021,,
Lima,Jun,3.955407742776364,2021,,
Lima Metropolitana,Jun,3.1969448244414043,2021,,
Loreto,Jun,0.47835051546391744,2021,,
higore de Dios,Jun,0.0,2021,,
Moquegua,Jun,4.61971878026786,2021,,
Pasco,Jun,2.5484012846398167,2021,,
Piura,Jun,2.33465825446898,2021,,
Puno,Jun,0.0,2021,,
San Martín,Jun,1.8325000000000002,2021,,
Tacna,Jun,5.0,2021,,
Tumbes,Jun,0.0,2021,,
Ucayali,Jun,0.7327549435759394,2021,,
Amazonas,Jul,1.8254735565994848,2021,,
Áncash,Jul,4.023447090596612,2021,,
Apurímac,Jul,3.163948289269051,2021,,
Arequipa,Jul,3.900900900900901,2021,,
Ayacucho,Jul,3.5876404494382026,2021,,
Cajamarca,Jul,2.5395973154362417,2021,,
Callao,Jul,0.0,2021,,
Cusco,Jul,1.3847043214556483,2021,,
Huancavelica,Jul,3.6069377990430618,2021,,
Huánuco,Jul,3.1194,2021,,
Ica,Jul,4.386390469099032,2021,,
Junín,Jul,1.75371669209286,2021,,
La Libertad,Jul,3.88398588705167,2021,,
Lambayeque,Jul,2.7080502772245247,2021,,
Lima,Jul,4.613950910656758,2021,,
Lima Metropolitana,Jul,3.426276771004942,2021,,
Loreto,Jul,0.46922651933701653,2021,,
higore de Dios,Jul,0.0,2021,,
Moquegua,Jul,5.087940500902804,2021,,
Pasco,Jul,2.362688957367821,2021,,
Piura,Jul,1.501025641025641,2021,,
Puno,Jul,0.0,2021,,
San Martín,Jul,2.189583333333334,2021,,
Tacna,Jul,5.2,2021,,
Tumbes,Jul,0.0,2021,,
Ucayali,Jul,0.7292782026768642,2021,,
Amazonas,Ago,1.8625072308073716,2021,,
Áncash,Ago,4.294957118353344,2021,,
Apurímac,Ago,3.8294446586964903,2021,,
Arequipa,Ago,5.0,2021,,
Ayacucho,Ago,3.6795799299883316,2021,,
Cajamarca,Ago,2.816058394160584,2021,,
Callao,Ago,0.0,2021,,
Cusco,Ago,1.802439024390244,2021,,
Huancavelica,Ago,3.063594470046083,2021,,
Huánuco,Ago,1.844191176470588,2021,,
Ica,Ago,5.491147299176021,2021,,
Junín,Ago,1.836763812993321,2021,,
La Libertad,Ago,3.8497861679017187,2021,,
Lambayeque,Ago,2.887888,2021,,
Lima,Ago,3.28528738081287,2021,,
Lima Metropolitana,Ago,3.1192864030858245,2021,,
Loreto,Ago,0.4610769230769231,2021,,
higore de Dios,Ago,0.0,2021,,
Moquegua,Ago,5.309424706903073,2021,,
Pasco,Ago,2.2650377262598225,2021,,
Piura,Ago,2.066666666666667,2021,,
Puno,Ago,0.0,2021,,
San Martín,Ago,1.2466666666666664,2021,,
Tacna,Ago,0.0,2021,,
Tumbes,Ago,0.0,2021,,
Ucayali,Ago,0.0,2021,,
Amazonas,Set,1.8822257423375226,2021,,
Áncash,Set,4.714947856315179,2021,,
Apurímac,Set,3.340826023391813,2021,,
Arequipa,Set,4.993473746662711,2021,,
Ayacucho,Set,5.4868421052631575,2021,,
Cajamarca,Set,1.8270122783083218,2021,,
Callao,Set,0.0,2021,,
Cusco,Set,2.0,2021,,
Huancavelica,Set,3.2000000000000006,2021,,
Huánuco,Set,1.828095238095238,2021,,
Ica,Set,6.0,2021,,
Junín,Set,1.9163510494858227,2021,,
La Libertad,Set,3.959292209542815,2021,,
Lambayeque,Set,2.757142857142857,2021,,
Lima,Set,3.83539272622431,2021,,
Lima Metropolitana,Set,3.5,2021,,
Loreto,Set,0.45928571428571413,2021,,
higore de Dios,Set,5.0,2021,,
Moquegua,Set,7.061318792193585,2021,,
Pasco,Set,2.5235861951136167,2021,,
Piura,Set,0.0,2021,,
Puno,Set,0.0,2021,,
San Martín,Set,1.4500000000000002,2021,,
Tacna,Set,0.0,2021,,
Tumbes,Set,0.0,2021,,
Ucayali,Set,0.0,2021,,
Amazonas,Oct,1.8216292358380952,2021,,
Áncash,Oct,5.7033527696793005,2021,,
Apurímac,Oct,0.0,2021,,
Arequipa,Oct,4.9944598337950135,2021,,
Ayacucho,Oct,4.8811731207289295,2021,,
Cajamarca,Oct,2.5037377368633242,2021,,
Callao,Oct,0.0,2021,,
Cusco,Oct,2.0,2021,,
Huancavelica,Oct,0.0,2021,,
Huánuco,Oct,1.8313222871438113,2021,,
Ica,Oct,0.0,2021,,
Junín,Oct,1.747694995375604,2021,,
La Libertad,Oct,3.7792019668160166,2021,,
Lambayeque,Oct,4.5169999999999995,2021,,
Lima,Oct,3.612639706509684,2021,,
Lima Metropolitana,Oct,3.45,2021,,
Loreto,Oct,0.4626548672566372,2021,,
higore de Dios,Oct,4.283651226158039,2021,,
Moquegua,Oct,8.0,2021,,
Pasco,Oct,2.1025371516040563,2021,,
Piura,Oct,3.505,2021,,
Puno,Oct,0.0,2021,,
San Martín,Oct,1.0279518072289158,2021,,
Tacna,Oct,0.0,2021,,
Tumbes,Oct,0.0,2021,,
Ucayali,Oct,0.9499999999999998,2021,,
Amazonas,Nov,1.40906441888105,2021,,
Áncash,Nov,5.727669902912622,2021,,
Apurímac,Nov,0.0,2021,,
Arequipa,Nov,5.9447852760736195,2021,,
Ayacucho,Nov,5.361769911504424,2021,,
Cajamarca,Nov,2.4340859634990473,2021,,
Callao,Nov,0.0,2021,,
Cusco,Nov,1.328482972136223,2021,,
