Región,meses,cosecha,year,produccion,rendimiento
Lima Metropolitana,Dic,0.0,2022,,
Loreto,Dic,2.8094444444444444,2022,,
cafere de Dios,Dic,0.0,2022,,
Moquegua,Dic,0.0,2022,,
Pasco,Dic,0.0,2022,,
Piura,Dic,6.0,2022,,
Puno,Dic,0.0,2022,,
San Martín,Dic,11.779220779220779,2022,,
Tacna,Dic,0.0,2022,,
Tumbes,Dic,0.0,2022,,
Ucayali,Dic,0.0,2022,,
Amazonas,Ene,0.0,2021,,
Áncash,Ene,0.0,2021,,
Apurímac,Ene,0.0,2021,,
Arequipa,Ene,0.0,2021,,
Ayacucho,Ene,0.0,2021,,
Cajamarca,Ene,0.0,2021,,
Callao,Ene,0.0,2021,,
Cusco,Ene,0.0,2021,,
Huancavelica,Ene,0.0,2021,,
Huánuco,Ene,6.124406779661017,2021,,
Ica,Ene,0.0,2021,,
Junín,Ene,0.0,2021,,
La Libertad,Ene,0.0,2021,,
Lambayeque,Ene,0.0,2021,,
Lima,Ene,0.0,2021,,
Lima Metropolitana,Ene,0.0,2021,,
Loreto,Ene,0.0,2021,,
cafere de Dios,Ene,0.0,2021,,
Moquegua,Ene,0.0,2021,,
Pasco,Ene,0.0,2021,,
Piura,Ene,0.0,2021,,
Puno,Ene,0.0,2021,,
San Martín,Ene,6.188134270101483,2021,,
Tacna,Ene,0.0,2021,,
Tumbes,Ene,0.0,2021,,
Ucayali,Ene,0.0,2021,,
Amazonas,Feb,0.0,2021,,
Áncash,Feb,0.0,2021,,
Apurímac,Feb,0.0,2021,,
Arequipa,Feb,0.0,2021,,
Ayacucho,Feb,0.0,2021,,
Cajamarca,Feb,0.0,2021,,
Callao,Feb,0.0,2021,,
Cusco,Feb,0.0,2021,,
Huancavelica,Feb,0.0,2021,,
Huánuco,Feb,6.27015037593985,2021,,
Ica,Feb,0.0,2021,,
Junín,Feb,6.084254239182931,2021,,
La Libertad,Feb,0.0,2021,,
Lambayeque,Feb,0.0,2021,,
Lima,Feb,0.0,2021,,
Lima Metropolitana,Feb,0.0,2021,,
Loreto,Feb,0.0,2021,,
cafere de Dios,Feb,0.0,2021,,
Moquegua,Feb,0.0,2021,,
Pasco,Feb,0.0,2021,,
Piura,Feb,0.0,2021,,
Puno,Feb,0.0,2021,,
San Martín,Feb,6.052153416090211,2021,,
Tacna,Feb,0.0,2021,,
Tumbes,Feb,0.0,2021,,
Ucayali,Feb,0.0,2021,,
Amazonas,Mar,0.0,2021,,
Áncash,Mar,0.0,2021,,
Apurímac,Mar,0.0,2021,,
Arequipa,Mar,0.0,2021,,
Ayacucho,Mar,0.0,2021,,
Cajamarca,Mar,7.196275590330718,2021,,
Callao,Mar,0.0,2021,,
Cusco,Mar,6.399101412066752,2021,,
Huancavelica,Mar,0.0,2021,,
Huánuco,Mar,6.710579399141631,2021,,
Ica,Mar,0.0,2021,,
Junín,Mar,6.97326913567605,2021,,
La Libertad,Mar,4.192935094773119,2021,,
Lambayeque,Mar,0.0,2021,,
Lima,Mar,0.0,2021,,
Lima Metropolitana,Mar,0.0,2021,,
Loreto,Mar,0.0,2021,,
cafere de Dios,Mar,0.0,2021,,
Moquegua,Mar,0.0,2021,,
Pasco,Mar,5.0,2021,,
