Región,meses,cosecha,produccion,rendimiento,precio,year
papare de Dios,Nov,0.0,0.0,0.0,0.0,2021
Moquegua,Nov,3.0,81.0,27000.0,1.0,2021
Pasco,Nov,128.0,2540.2,19845.3125,0.71143413904417,2021
Piura,Nov,129.0,1466.0,11364.341085271319,0.9148158253751706,2021
Puno,Nov,0.0,0.0,0.0,0.0,2021
San Martín,Nov,0.0,0.0,0.0,0.0,2021
Tacna,Nov,15.0,299.0,19933.333333333332,1.6153846153846154,2021
Tumbes,Nov,0.0,0.0,0.0,0.0,2021
Ucayali,Nov,0.0,0.0,0.0,0.0,2021
Amazonas,Dic,91.0,1614.6999999999998,17743.956043956045,1.6131913048863569,2021
Áncash,Dic,275.0,3542.6,12882.181818181818,1.090969909106306,2021
Apurímac,Dic,124.0,2642.0,21306.451612903224,1.125889477668433,2021
Arequipa,Dic,699.0,27014.070000000003,38646.73819742489,0.8186503921845173,2021
Ayacucho,Dic,342.0,5070.0,14824.561403508773,0.9319704142011833,2021
Cajamarca,Dic,2774.25,28398.039999999997,10236.294494007388,1.0698634483224898,2021
Callao,Dic,0.0,0.0,0.0,0.0,2021
Cusco,Dic,204.0,3095.0,15171.56862745098,1.0279967689822294,2021
Huancavelica,Dic,453.0,8014.000000000001,17690.949227373072,0.8517681557274768,2021
Huánuco,Dic,5536.0,114996.0,20772.398843930634,0.7721385091655362,2021
Ica,Dic,0.0,0.0,0.0,0.0,2021
Junín,Dic,997.0,19353.699999999997,19411.935807422265,0.8477256545260078,2021
La Libertad,Dic,1354.0,32738.0,24178.729689807977,1.1639978007208749,2021
Lambayeque,Dic,0.0,0.0,0.0,0.0,2021
Lima,Dic,561.0,18541.8,33051.33689839572,0.8603571390048433,2021
Lima Metropolitana,Dic,4.0,119.2,29800.0,0.4,2021
Loreto,Dic,0.0,0.0,0.0,0.0,2021
papare de Dios,Dic,0.0,0.0,0.0,0.0,2021
Moquegua,Dic,8.0,148.57,18571.25,0.9363465033317628,2021
Pasco,Dic,239.0,4789.0,20037.65690376569,0.7585049070787221,2021
Piura,Dic,208.0,2261.0,10870.192307692309,0.8040380362671385,2021
Puno,Dic,1503.0,23327.0,15520.292747837659,1.856085223131993,2021
San Martín,Dic,0.0,0.0,0.0,0.0,2021
Tacna,Dic,11.0,237.0,21545.454545454548,1.519409282700422,2021
Tumbes,Dic,0.0,0.0,0.0,0.0,2021
Ucayali,Dic,0.0,0.0,0.0,0.0,2021
