Región,Año,Cultivo,rendimiento,siembras,cosecha,precio,produccion
Áncash,2021,Arroz cáscara,12482.84561049445,5946.0,5946.0,1.308827452406936,74223.0
Apurímac,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Arequipa,2021,Arroz cáscara,13827.072117048094,20231.0,20231.0,1.2960525538739638,279735.496
Ayacucho,2021,Arroz cáscara,3000.0,9.0,9.0,1.5,27.0
Cajamarca,2021,Arroz cáscara,7964.675807761791,22926.300000000003,22528.300000000003,1.1202825315654346,179430.60599999997
Callao,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Arroz cáscara,1990.352504638219,1074.0,1078.0,1.0678038777032066,2145.6
Huancavelica,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Huánuco,2021,Arroz cáscara,6134.682817978961,6350.0,6274.0,1.0843433188703269,38489.0
Ica,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Junín,2021,Arroz cáscara,3024.5814977973573,538.0,567.5,0.8942992804917124,1716.4500000000005
La Libertad,2021,Arroz cáscara,11096.265389364966,26723.0,26723.0,1.325868399176462,296525.5
Lambayeque,2021,Arroz cáscara,8699.912451748976,50316.0,50258.0,1.1691688687362232,437240.2
Lima,2021,Arroz cáscara,9000.0,1.0,1.0,1.0,9.0
Lima Metropolitana,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Loreto,2021,Arroz cáscara,2919.547471648496,37056.0,36506.0,0.6399375123145777,106581.0
Madre de Dios,2021,Arroz cáscara,3701.8018018018015,2318.0,1887.0,1.4338811504158733,6985.299999999999
Moquegua,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Arroz cáscara,1485.2794496990543,1128.0,1163.0,1.8534039991200544,1727.38
Piura,2021,Arroz cáscara,9343.477772608408,53398.0,62333.0,1.2245897284888403,582407.0
Puno,2021,Arroz cáscara,1832.5,80.0,80.0,1.740381991814461,146.60000000000002
San Martín,2021,Arroz cáscara,7877.542937845485,108352.5,111166.5,1.0582172120402973,875718.8770000001
Tacna,2021,Arroz cáscara,0.0,0.0,0.0,0.0,0.0
Tumbes,2021,Arroz cáscara,8806.690592030693,15820.1,14336.25,1.3372561517960035,126254.918
Ucayali,2021,Arroz cáscara,5330.58508695307,12056.0,12593.0,0.9326196960740322,67128.058
Amazonas,2021,Arveja grano seco,815.8241758241759,129.5,136.5,4.1938038793103445,111.36
Áncash,2021,Arveja grano seco,1010.5062082139448,1047.0,1047.0,3.4509640831758035,1058.0
Apurímac,2021,Arveja grano seco,2229.3212341197823,1384.5,1377.5,2.825245124377624,3070.89
Arequipa,2021,Arveja grano seco,1542.5000000000002,4.0,4.0,2.6839546191247976,6.170000000000001
Ayacucho,2021,Arveja grano seco,1416.9644984512747,4410.0,4197.0,2.562396166134185,5947.0
Cajamarca,2021,Arveja grano seco,954.8208805039382,15083.0,15851.15,3.2094374770441165,15135.009
Callao,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Arveja grano seco,1485.994263862333,2330.0,2092.0,2.4579908000128667,3108.7000000000003
Huancavelica,2021,Arveja grano seco,1650.8089607965155,3287.0,3214.0,2.403607441053961,5305.700000000001
Huánuco,2021,Arveja grano seco,1225.9098191805906,1092.25,1092.25,3.45499925317401,1339.0
Ica,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Junín,2021,Arveja grano seco,2073.167808219178,591.0,584.0,2.882052976303552,1210.73
La Libertad,2021,Arveja grano seco,1182.3763501989768,8795.0,8795.0,3.0727255505337063,10399.0
Lambayeque,2021,Arveja grano seco,962.7272727272726,260.0,330.0,2.042398489140699,317.7
Lima,2021,Arveja grano seco,1880.952380952381,17.0,21.0,2.4936708860759493,39.5
Lima Metropolitana,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Loreto,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Madre de Dios,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Arveja grano seco,679.1509433962264,106.0,106.0,1.8981775246562027,71.99
Piura,2021,Arveja grano seco,723.5397452788758,4716.0,4554.0,2.661347496206373,3295.0
Puno,2021,Arveja grano seco,985.6143667296784,1058.0,1058.0,2.0617340186808337,1042.7799999999995
San Martín,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Tacna,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Tumbes,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Arveja grano seco,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Arveja grano verde,2674.1075268817203,694.5,697.5,4.301486711809521,1865.19
Áncash,2021,Arveja grano verde,3681.416957026713,816.0,861.0,1.852440294034136,3169.7
Apurímac,2021,Arveja grano verde,3882.152926099957,1129.5,1170.5,1.9784917012539451,4544.06
Arequipa,2021,Arveja grano verde,9855.237364043503,1582.0,1563.0,2.265525629626475,15403.736
Ayacucho,2021,Arveja grano verde,2981.9770617149097,1749.0,1831.0,2.7168205128205125,5460.0
Cajamarca,2021,Arveja grano verde,2039.3594788445089,15047.0,15197.0,2.254211057214302,30992.146
Callao,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Arveja grano verde,6008.976660682226,469.0,557.0,2.196982372273678,3347.0
Huancavelica,2021,Arveja grano verde,4358.130289817902,5931.0,3899.0,2.271070216891718,16992.350000000002
Huánuco,2021,Arveja grano verde,6340.247223968154,2394.75,2386.5,1.5655922939660305,15131.0
Ica,2021,Arveja grano verde,3425.476439790576,97.5,95.5,3.164877160054167,327.13300000000004
Junín,2021,Arveja grano verde,7179.248366013072,4335.0,4284.0,2.5031602066595355,30755.9
La Libertad,2021,Arveja grano verde,3222.798216276477,1792.5,1794.0,2.4412171160731275,5781.7
Lambayeque,2021,Arveja grano verde,2535.176470588236,827.0,850.0,1.510232493387164,2154.9
Lima,2021,Arveja grano verde,4757.537289749286,667.2,630.2,1.909005403241945,2998.2000000000003
Lima Metropolitana,2021,Arveja grano verde,5735.675675675676,37.0,37.0,1.1310564508528886,212.22
Loreto,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
Madre de Dios,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Arveja grano verde,4401.933333333334,47.0,45.0,2.517584697632858,198.087
Pasco,2021,Arveja grano verde,2989.652294853964,831.0,719.0,1.1517050000930424,2149.56
Piura,2021,Arveja grano verde,1904.255319148936,763.0,658.0,2.590407023144453,1253.0
Puno,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
San Martín,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
Tacna,2021,Arveja grano verde,6275.862068965517,31.0,29.0,4.521978021978022,182.0
Tumbes,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Arveja grano verde,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Áncash,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Apurímac,2021,Avena grano,3451.23595505618,684.5,667.5,1.7362503798237618,2303.7
Arequipa,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Ayacucho,2021,Avena grano,1297.157622739018,387.0,387.0,1.1434262948207172,502.0
Cajamarca,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Callao,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Avena grano,2065.709931419862,3937.0,3937.0,2.2541436423328047,8132.7
Huancavelica,2021,Avena grano,1561.2521150592218,596.0,591.0,1.5545247642787472,922.7
Huánuco,2021,Avena grano,1808.4714548802945,1086.0,1086.0,2.3377487270875767,1963.9999999999995
Ica,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Junín,2021,Avena grano,1655.5555555555552,297.0,297.0,1.526487695749441,491.69999999999993
La Libertad,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Lambayeque,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Lima,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Lima Metropolitana,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Loreto,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Madre de Dios,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Piura,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Puno,2021,Avena grano,970.7396891445354,8171.0,8171.0,1.489837043114689,7931.913999999999
San Martín,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Tacna,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Tumbes,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Avena grano,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Berenjena,-,-,-,-,-
Áncash,2021,Berenjena,-,-,-,-,-
Apurímac,2021,Berenjena,-,-,-,-,-
Arequipa,2021,Berenjena,-,-,-,-,-
Ayacucho,2021,Berenjena,-,-,-,-,-
Cajamarca,2021,Berenjena,-,-,-,-,-
Callao,2021,Berenjena,-,-,-,-,-
Cusco,2021,Berenjena,-,-,-,-,-
Huancavelica,2021,Berenjena,-,-,-,-,-
Huánuco,2021,Berenjena,-,-,-,-,-
Ica,2021,Berenjena,-,-,-,-,-
Junín,2021,Berenjena,-,-,-,-,-
La Libertad,2021,Berenjena,-,-,-,-,-
Lambayeque,2021,Berenjena,-,-,-,-,-
Lima,2021,Berenjena,-,-,-,-,-
Lima Metropolitana,2021,Berenjena,-,-,-,-,-
Loreto,2021,Berenjena,-,-,-,-,-
Madre de Dios,2021,Berenjena,-,-,-,-,-
Moquegua,2021,Berenjena,-,-,-,-,-
Pasco,2021,Berenjena,-,-,-,-,-
Piura,2021,Berenjena,-,-,-,-,-
Puno,2021,Berenjena,-,-,-,-,-
San Martín,2021,Berenjena,-,-,-,-,0
Tacna,2021,Berenjena,-,-,-,-,0
Tumbes,2021,Berenjena,-,-,-,-,0
Ucayali,2021,Berenjena,-,-,-,-,0
Amazonas,2021,Betarraga,7706.6035502958575,81,84.5,1.7069564563088906,651.208
Áncash,2021,Betarraga,10806.060606060606,164,165.0,1.2853224901850813,1783.0
Apurímac,2021,Betarraga,7523.809523809524,20,21.0,0.7462025316455696,158.0
Arequipa,2021,Betarraga,20631.015789473688,187,190.0,0.7798619248025392,3919.893
Ayacucho,2021,Betarraga,6746.666666666667,71,75.0,1.1545454545454543,506.0
Cajamarca,2021,Betarraga,5869.696969696969,65,66.0,0.8027361899845122,387.4
Callao,2021,Betarraga,0.0,0,0.0,0.0,0.0
Cusco,2021,Betarraga,0.0,0,0.0,0.0,0.0
Huancavelica,2021,Betarraga,0.0,0,0.0,0.0,0.0
Huánuco,2021,Betarraga,12562.962962962964,33,33.75,0.7927924528301888,424.0
Ica,2021,Betarraga,5844.545454545454,66,66.0,0.98824493181936,385.74
Junín,2021,Betarraga,16489.473684210527,75,76.0,1.1675319182891797,1253.2
La Libertad,2021,Betarraga,22833.766233766237,37,38.5,0.8604584233875555,879.1
Lambayeque,2021,Betarraga,10000.0,5,5.0,0.5,50.0
Lima,2021,Betarraga,20427.36696613684,686,723.5,1.5155324374797012,14779.2
Lima Metropolitana,2021,Betarraga,25191.614643545272,527,519.0,0.8173113205238189,13074.447999999997
Loreto,2021,Betarraga,0.0,0,0.0,0.0,0.0
Madre de Dios,2021,Betarraga,0.0,0,0.0,0.0,0.0
Moquegua,2021,Betarraga,0.0,0,0.0,0.0,0.0
Pasco,2021,Betarraga,0.0,0,0.0,0.0,0.0
Piura,2021,Betarraga,0.0,0,0.0,0.0,0.0
Puno,2021,Betarraga,0.0,0,0.0,0.0,0.0
San Martín,2021,Betarraga,0.0,0,0.0,0.0,0.0
Tacna,2021,Betarraga,16324.074074074071,103,108.0,1.7106069200226888,1763.0
Tumbes,2021,Betarraga,0.0,0,0.0,0.0,0.0
Ucayali,2021,Betarraga,0.0,0,0.0,0.0,0.0
Amazonas,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Áncash,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Apurímac,2021,Brócoli,5565.217391304348,21.0,23.0,0.90625,128.0
Arequipa,2021,Brócoli,17317.238709677415,156.0,155.0,1.1168709382260154,2684.172
Ayacucho,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Cajamarca,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Callao,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Huancavelica,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Huánuco,2021,Brócoli,15944.444444444443,18.25,18.0,2.2713728222996514,287.0
Ica,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Junín,2021,Brócoli,18828.14070351759,199.0,199.0,1.3477313974591651,3746.8
La Libertad,2021,Brócoli,19547.4025974026,385.0,385.0,1.556914061721423,7525.75
Lambayeque,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Lima,2021,Brócoli,10874.536585365851,1675.5,1537.5,1.2987980573697937,16719.6
Lima Metropolitana,2021,Brócoli,14808.549810844892,776.0,793.0,0.8882149298571596,11743.18
Loreto,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Madre de Dios,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Moquegua,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Piura,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Puno,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
San Martín,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Tacna,2021,Brócoli,18325.58139534884,88.0,86.0,1.7637055837563451,1576.0
Tumbes,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Brócoli,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Caigua,4215.992,123.0,125.0,1.0668980396547243,526.999
Áncash,2021,Caigua,4375.0,42.0,40.0,1.4742857142857142,175.0
Apurímac,2021,Caigua,5200.0,8.0,5.0,0.676923076923077,26.0
Arequipa,2021,Caigua,10875.0,2.0,2.0,1.0,21.75
Ayacucho,2021,Caigua,4200.0,25.0,25.0,1.0952380952380951,105.0
Cajamarca,2021,Caigua,2202.894736842105,115.0,114.0,0.754039740373512,251.13
Callao,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Cusco,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Huancavelica,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Huánuco,2021,Caigua,11099.0990990991,26.0,27.75,0.6303441558441559,308.0
Ica,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Junín,2021,Caigua,16941.09589041096,71.0,73.0,1.0730492439556885,1236.7
La Libertad,2021,Caigua,14000.0,2.5,2.5,1.382857142857143,35.0
Lambayeque,2021,Caigua,5000.0,31.0,24.0,1.0270833333333331,120.0
Lima,2021,Caigua,6570.833333333333,75.0,96.0,1.1845180722891564,630.8
Lima Metropolitana,2021,Caigua,10275.0,11.0,6.0,0.9259935117599352,61.65
Loreto,2021,Caigua,1752.0491803278687,495.0,488.0,0.5215672514619883,855.0
Madre de Dios,2021,Caigua,3000.0,0.5,0.5,1.5,1.5
Moquegua,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Pasco,2021,Caigua,15668.554726368158,400.0,402.0,1.287615128630894,6298.759
Piura,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Puno,2021,Caigua,0.0,0.0,0.0,0.0,0.0
San Martín,2021,Caigua,933.3333333333331,2.5,3.0,2.0,2.8
Tacna,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Tumbes,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Ucayali,2021,Caigua,0.0,0.0,0.0,0.0,0.0
Amazonas,2021,Calabaza,7000.0,8.0,8.0,1.1,56.0
Áncash,2021,Calabaza,0.0,0.0,0.0,0.0,0.0
