Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Madre de Dios,0,1/4/2019,0,0,0,0
Moquegua,0,1/4/2019,0,0,0,0
Pasco,0,1/4/2019,0,0,0,0
Piura,0,1/4/2019,0,0,0,0
Puno,0,1/4/2019,0,0,0,0
San Martín,0,1/4/2019,0,0,0,0
Tacna,0,1/4/2019,0,0,0,0
Tumbes,0,1/4/2019,0,0,0,0
Ucayali,0,1/4/2019,0,0,0,0
Nacional,48.5,1/5/2022,3,3,1000,5.2
Amazonas,0,1/5/2022,0,0,0,0
Áncash,0,1/5/2022,0,0,0,0
Apurímac,0,1/5/2022,0,0,0,0
Arequipa,0,1/5/2022,0,0,0,0
Ayacucho,0,1/5/2022,3,3,1000,5.2
Cajamarca,0,1/5/2022,0,0,0,0
Callao,0,1/5/2022,0,0,0,0
Cusco,0,1/5/2022,0,0,0,0
Huancavelica,0,1/5/2022,0,0,0,0
Huánuco,0,1/5/2022,0,0,0,0
Ica,8.5,1/5/2022,0,0,0,0
Junín,0,1/5/2022,0,0,0,0
La Libertad,0,1/5/2022,0,0,0,0
Lambayeque,40,1/5/2022,0,0,0,0
Lima,0,1/5/2022,0,0,0,0
Lima Metropolitana,0,1/5/2022,0,0,0,0
Loreto,0,1/5/2022,0,0,0,0
Madre de Dios,0,1/5/2022,0,0,0,0
Moquegua,0,1/5/2022,0,0,0,0
Pasco,0,1/5/2022,0,0,0,0
Piura,0,1/5/2022,0,0,0,0
Puno,0,1/5/2022,0,0,0,0
San Martín,0,1/5/2022,0,0,0,0
Tacna,0,1/5/2022,0,0,0,0
Tumbes,0,1/5/2022,0,0,0,0
Ucayali,0,1/5/2022,0,0,0,0
Nacional,9,1/5/2021,9,11,1222.2222222222224,3.0890909090909093
Amazonas,0,1/5/2021,0,0,0,0
Áncash,0,1/5/2021,0,0,0,0
Apurímac,0,1/5/2021,0,0,0,0
Arequipa,0,1/5/2021,0,0,0,0
Ayacucho,0,1/5/2021,9,11,1222.2222222222224,3.0890909090909093
Cajamarca,0,1/5/2021,0,0,0,0
Callao,0,1/5/2021,0,0,0,0
Cusco,0,1/5/2021,0,0,0,0
Huancavelica,0,1/5/2021,0,0,0,0
Huánuco,0,1/5/2021,0,0,0,0
Ica,9,1/5/2021,0,0,0,0
Junín,0,1/5/2021,0,0,0,0
La Libertad,0,1/5/2021,0,0,0,0
Lambayeque,0,1/5/2021,0,0,0,0
Lima,0,1/5/2021,0,0,0,0
Lima Metropolitana,0,1/5/2021,0,0,0,0
Loreto,0,1/5/2021,0,0,0,0
Madre de Dios,0,1/5/2021,0,0,0,0
Moquegua,0,1/5/2021,0,0,0,0
Pasco,0,1/5/2021,0,0,0,0
Piura,0,1/5/2021,0,0,0,0
Puno,0,1/5/2021,0,0,0,0
San Martín,0,1/5/2021,0,0,0,0
Tacna,0,1/5/2021,0,0,0,0
Tumbes,0,1/5/2021,0,0,0,0
Ucayali,0,1/5/2021,0,0,0,0
Nacional,107.5,1/5/2020,0,0,0,0
Amazonas,0,1/5/2020,0,0,0,0
Áncash,0,1/5/2020,0,0,0,0
Apurímac,0,1/5/2020,0,0,0,0
Arequipa,0,1/5/2020,0,0,0,0
Ayacucho,0,1/5/2020,0,0,0,0
Cajamarca,0,1/5/2020,0,0,0,0
Callao,0,1/5/2020,0,0,0,0
Cusco,0,1/5/2020,0,0,0,0
Huancavelica,0,1/5/2020,0,0,0,0
Huánuco,0,1/5/2020,0,0,0,0
Ica,78,1/5/2020,0,0,0,0
Junín,0,1/5/2020,0,0,0,0
La Libertad,4.5,1/5/2020,0,0,0,0
Lambayeque,25,1/5/2020,0,0,0,0
Lima,0,1/5/2020,0,0,0,0
Lima Metropolitana,0,1/5/2020,0,0,0,0
Loreto,0,1/5/2020,0,0,0,0
Madre de Dios,0,1/5/2020,0,0,0,0
Moquegua,0,1/5/2020,0,0,0,0
Pasco,0,1/5/2020,0,0,0,0
Piura,0,1/5/2020,0,0,0,0
Puno,0,1/5/2020,0,0,0,0
San Martín,0,1/5/2020,0,0,0,0
Tacna,0,1/5/2020,0,0,0,0
Tumbes,0,1/5/2020,0,0,0,0
Ucayali,0,1/5/2020,0,0,0,0
Nacional,47,1/5/2019,0,0,0,0
Amazonas,0,1/5/2019,0,0,0,0
Áncash,0,1/5/2019,0,0,0,0
Apurímac,0,1/5/2019,0,0,0,0
Arequipa,0,1/5/2019,0,0,0,0
Ayacucho,0,1/5/2019,0,0,0,0
Cajamarca,0,1/5/2019,0,0,0,0
Callao,0,1/5/2019,0,0,0,0
Cusco,0,1/5/2019,0,0,0,0
Huancavelica,0,1/5/2019,0,0,0,0
Huánuco,0,1/5/2019,0,0,0,0
Ica,43,1/5/2019,0,0,0,0
Junín,0,1/5/2019,0,0,0,0
La Libertad,4,1/5/2019,0,0,0,0
Lambayeque,0,1/5/2019,0,0,0,0
Lima,0,1/5/2019,0,0,0,0
Lima Metropolitana,0,1/5/2019,0,0,0,0
Loreto,0,1/5/2019,0,0,0,0
Madre de Dios,0,1/5/2019,0,0,0,0
Moquegua,0,1/5/2019,0,0,0,0
Pasco,0,1/5/2019,0,0,0,0
Piura,0,1/5/2019,0,0,0,0
Puno,0,1/5/2019,0,0,0,0
San Martín,0,1/5/2019,0,0,0,0
Tacna,0,1/5/2019,0,0,0,0
Tumbes,0,1/5/2019,0,0,0,0
Ucayali,0,1/5/2019,0,0,0,0
Nacional,140,1/6/2022,4,4,1000,4.5
Amazonas,0,1/6/2022,0,0,0,0
Áncash,0,1/6/2022,0,0,0,0
Apurímac,0,1/6/2022,0,0,0,0
Arequipa,0,1/6/2022,0,0,0,0
Ayacucho,0,1/6/2022,4,4,1000,4.5
Cajamarca,0,1/6/2022,0,0,0,0
Callao,0,1/6/2022,0,0,0,0
Cusco,0,1/6/2022,0,0,0,0
Huancavelica,0,1/6/2022,0,0,0,0
Huánuco,0,1/6/2022,0,0,0,0
Ica,0,1/6/2022,0,0,0,0
Junín,0,1/6/2022,0,0,0,0
La Libertad,0,1/6/2022,0,0,0,0
Lambayeque,140,1/6/2022,0,0,0,0
Lima,0,1/6/2022,0,0,0,0
Lima Metropolitana,0,1/6/2022,0,0,0,0
Loreto,0,1/6/2022,0,0,0,0
Madre de Dios,0,1/6/2022,0,0,0,0
Moquegua,0,1/6/2022,0,0,0,0
Pasco,0,1/6/2022,0,0,0,0
Piura,0,1/6/2022,0,0,0,0
Puno,0,1/6/2022,0,0,0,0
San Martín,0,1/6/2022,0,0,0,0
Tacna,0,1/6/2022,0,0,0,0
Tumbes,0,1/6/2022,0,0,0,0
Ucayali,0,1/6/2022,0,0,0,0
Nacional,21,1/6/2021,14,17,1214.2857142857142,3.5588235294117645
Amazonas,0,1/6/2021,0,0,0,0
Áncash,0,1/6/2021,0,0,0,0
Apurímac,0,1/6/2021,0,0,0,0
Arequipa,0,1/6/2021,0,0,0,0
Ayacucho,0,1/6/2021,14,17,1214.2857142857142,3.5588235294117645
Cajamarca,0,1/6/2021,0,0,0,0
Callao,0,1/6/2021,0,0,0,0
Cusco,0,1/6/2021,0,0,0,0
Huancavelica,0,1/6/2021,0,0,0,0
Huánuco,0,1/6/2021,0,0,0,0
Ica,6,1/6/2021,0,0,0,0
Junín,0,1/6/2021,0,0,0,0
La Libertad,0,1/6/2021,0,0,0,0
Lambayeque,15,1/6/2021,0,0,0,0
Lima,0,1/6/2021,0,0,0,0
Lima Metropolitana,0,1/6/2021,0,0,0,0
Loreto,0,1/6/2021,0,0,0,0
Madre de Dios,0,1/6/2021,0,0,0,0
Moquegua,0,1/6/2021,0,0,0,0
Pasco,0,1/6/2021,0,0,0,0
Piura,0,1/6/2021,0,0,0,0
Puno,0,1/6/2021,0,0,0,0
San Martín,0,1/6/2021,0,0,0,0
Tacna,0,1/6/2021,0,0,0,0
Tumbes,0,1/6/2021,0,0,0,0
Ucayali,0,1/6/2021,0,0,0,0
Nacional,78,1/6/2020,6,9,1500,4.066666666666666
Amazonas,0,1/6/2020,0,0,0,0
Áncash,0,1/6/2020,0,0,0,0
Apurímac,0,1/6/2020,0,0,0,0
Arequipa,0,1/6/2020,0,0,0,0
Ayacucho,0,1/6/2020,6,9,1500,4.066666666666666
Cajamarca,0,1/6/2020,0,0,0,0
